stop_id	stop_name	stop_lat	stop_lon
731aaea7-faff-4e78-b247-ae0f180e0052	Shkola-litsei No. 15	51.178385	71.410055
50768bd6-38ce-4f3d-943d-a11b456905d2	Prospekt Saryarka	51.174294	71.406421
d46249b9-2884-4b23-be59-9e5f54f49c89	Sportivnyi kompleks ABYROY	51.1686558	71.407836
b2feffc5-c000-486c-9e55-99734f884cb0	Shkola Zerde	51.1651186	71.4089916
fe69c59f-7223-46c9-baf4-bc76f8e829ab	Ulitsa Kenesary	51.161876	71.409894
35914827-e837-47c4-93ce-d92d1d09d291	Park Astana	51.152474	71.4123438
21a7b5b4-3e01-4457-91da-b8cc6ac14bbd	TRTs KeruenCity	51.143451	71.410961
01a3134a-4649-496d-b4fa-aea764a50a8b	TRTs Saryarka	51.139146	71.409255
8f799508-4fac-4e5a-8fda-b24e19000780	AO Kazmunaigaz	51.134901	71.41477
160e90a6-0ebf-42f5-801d-bc26323a7705	Ulitsa  Dinmukhameda Kunaeva	51.132429151498	71.419176988836
6de59510-6e48-4efa-8459-b2c0d2766247	Kazakhstan temir zholy	51.131257724733	71.426563795971
379d5591-eb02-45b1-b0b7-8407edfe55b4	monument Baiterek	51.130015	71.434369
ec4e66cb-d30e-4e6a-9539-3051048f84da	Dom Ministerstv	51.1287312958661	71.4389091285894
13c38731-1a07-40f0-a7ad-01c8539e2870	Finansovyi tsentr	51.11695	71.434479
9e25e9c9-dd52-4436-ac0d-af6804369476	ZhK Akzhaik	51.1120133191131	71.4324578982736
6cb18f4c-19a8-4fce-9bd3-f4b918a13d8a	K'arlyg'ash balabak'shasy	51.108050533972666	71.4310605225266
e9a3808a-45e7-4f39-9379-763d701979e7	Triumfal'naia arka Mangilik El	51.1038871	71.4295126
daee5445-ae51-4bce-89ef-291e7c3b9ae0	ul. Bukhar zhyrau	51.098826	71.4277518
98d1a5a7-9d18-4401-bc23-d018dc3e432d	ZhK Promenad Ekspo	51.093429	71.425912
e80c5cc3-6d22-4bb2-8697-2c901ad33137	ZhK Orynbor Towers	51.0898113	71.4245711
ad14c406-b8c8-49e6-8ed4-426612e851e7	Astana EKSPO	51.0855001	71.4230402
cb455c22-433c-415c-9dc6-4b38f567d97a	ZhK Ekspo Siti	51.082013	71.421862
d14ef85c-0e16-4e07-ba92-b1eef3a17499	Bol'nitsa Meditsinskogo tsentra UDP RK	51.0780728	71.4203477
83e469fd-55cf-4299-8bb7-1307181ae453	E 495	51.0748255	71.4191817
024dc66b-2cc2-4c58-9482-caa7068d6eb2	Detskii sad Karlygash	51.07101538085358	71.41783477700184
09b35dc0-2e95-4c03-b488-5eda1557f68b	Ulitsa Birzhan sal	51.190696721868	71.40867294591281
d81e04ca-9213-4363-b2d1-34580954fc9e	Ulitsa Il'iasa Esenberlina	51.189515	71.412379
f61c6540-7d01-4563-a8a6-ef667d64ea20	Agrotekhnicheskii universitet	51.18741276666992	71.41535943203712
4fddb84f-fb97-43b8-a619-e667607dc9de	Meditsinskii universitet Astana	51.18070299651373	71.41718793734093
5ea2fd87-18be-448c-ba4a-011ed7449f1e	Politekhnicheskii kolledzh	51.17573	71.418487
26d4ae3b-1b99-47f1-a819-0e4f77899d96	ulitsa Karasu	51.20053675217712	71.33146497827295
fe9d6168-9e62-41bb-be9e-15853bdcfdfd	Mu'sa dukeni	51.20019995904532	71.33617625429603
2dd9aae5-9429-4599-9e2b-19909c7551da	Tarbagatai	51.1992016089265	71.33253419309649
80f1899c-9a53-40c5-8e75-a2f6c1d74d82	Aktobe	51.19803194321285	71.32954210029943
fe63a582-29bc-419b-8a03-5c1757b45e87	Ulytau	51.19553087377446	71.32675914734659
3c018a79-d48f-4d34-8f87-e5e6746013a9	Gostinitsa Bakhyt	51.19402700372381	71.32210101291399
c901486e-6e2a-4bc5-a56b-ebe54673e704	Keleshek	51.19078530654348	71.33363293842872
2bbe99d3-1cdd-4707-af05-4d07edcfb875	Zhanakonys	51.18818770419222	71.3317412809883
88c76eb3-8629-453b-968f-d1aeaf15937f	per. Taitobe	51.18698587437736	71.3364987698196
519996b9-34d3-4260-942e-88b48ca22623	Ardagerler	51.184700901626975	71.34277427796226
2b2b7d9a-6879-45ea-9763-1fe18e018f2f	Titova	51.183274919815695	71.34812943571903
64d084ee-3c50-4f86-a73b-39e127d3446f	Shugyla	51.18288181770246	71.35116529462137
9f845f42-9eac-4e28-8502-fc9922b6c923	Astana EKSPO	51.0846022	71.423319
1d53ab9f-c7f4-4aa4-b0f0-633962560cfa	ZhK Orynbor Towers	51.0881047	71.4245778
4ef6c8ac-8173-4c76-b194-918e3c3d876f	ZhK Promenad Ekspo	51.092836	71.426175
93f2e175-bd6e-43d4-8498-a0b68fa24560	UDP	51.096743609202704	71.42762093877424
4efbf1dc-b4dc-46a4-9f0b-70f8d73ff6b2	Bukhar zhyrau	51.100996	71.429179
9230cadb-e2b9-4939-8b6f-8be6d9da92c8	Triumfal'naia arka Mangilik El	51.10488336936517	71.43071880091824
1552b0e1-bb57-49dc-b4cb-557a39df06b4	K'arlyg'ash balabak'shasy	51.1097834	71.4324027
f5fa8abd-4d11-4331-9424-0c9638a34de4	ZhK Akzhaik	51.114246	71.433985
f3a7aefe-7c9f-4391-8091-7df545584ac0	Finansovyi tsentr	51.118202	71.435278
ffe7ac12-5298-4f2b-83e5-894509a544ed	K'azak'kontsert im. Rozy Baglanovoi	51.1258281	71.4381327
2ca9397c-8bbe-40c0-9a6d-545216696cfe	Dom ministerstv	51.129665748498	71.438057141919
06232fac-a185-48c0-8ac7-70a493306087	Kazakhstan temir zholy	51.131714867879	71.424825989754
e9dc4756-2990-4fa3-a0b8-a04d6312f913	Ulitsa  Dinmukhameda Kunaeva	51.132835188837	71.41794819554
f4570762-f53c-463c-89a4-87f4e916d5a3	TRTs Khan Shatyr	51.1311545	71.4065528
1100a1f5-0017-4d32-a284-74289da87c19	Teatr Astana Opera	51.136214	71.408445
b199b336-fc58-47ca-bf2e-34f180c3c111	TRTs Saryarka	51.139728	71.409835
666cc2b2-73dc-4d32-afd1-1ce0b6280dd8	TRTs KeruenCity	51.143945	71.411519
da885f37-5bc2-43d5-b95c-ef82447df886	Korgalzhinskaia trassa	51.148229	71.412726
3f01777a-d987-4808-83e3-80e0193ebb62	Park Astana	51.1531116	71.4127808
edf55deb-81ff-41ae-bec5-a5a7b2cf5230	Ulitsa Kenesary	51.1621126	71.4102813
6aba57b3-2ccf-46aa-a877-7302fe66740e	Shkola Zerde	51.1650228	71.4094638
4cc233c3-db14-4e65-b96b-91271c045f99	Sportivnyi kompleks ABYROY	51.1697536	71.4080971
